Symbol,Company Name,Current Price,PE,Market Capital,FFMC,Outstanding Shares,Basic Industry,Industry,Macro,Sectoral Index,Sectoral PE,Status
UNIVPHOTO,Universus Photo Imagings Limited,401.5,NA,43950.62,11017.756925999998,10946604,Household Products,Household Products,Fast Moving Consumer Goods,NA,NA,Active
JAYAGROGN,Jayant Agro Organics Limited,166.15,9.15,49845,14980.5,30000000,Specialty Chemicals,Specialty Chemicals,Commodities,NIFTY 500                                         ,21.73,Active
NECLIFE,Nectar Lifesciences Limited,17.7,0,39694.19,17416.1069302,224260970,Pharmaceuticals,Pharmaceuticals,Healthcare,NIFTY PHARMA                                      ,31.02,Active
WINDLAS,Windlas Biotech Limited,252.15,NA,53911.32,21990.524375,21380653,Pharmaceuticals,Pharmaceuticals,Healthcare,NA,NA,Active
HCL-INSYS,HCL Infosystems Limited,13.8,0,45430.97,16748.555087,329209928,Computers Hardware & Equipments,Computers Hardware & Equipments,Information Technology,NIFTY IT                                          ,26.74,Active
STCINDIA,The State Trading Corporation of India Limited,72.15,151.79,43290,4347,60000000,Trading & Distributors,Trading & Distributors,Services,NIFTY 500                                         ,21.73,Active
MENONBE,Menon Bearings Limited,101.05,21.13,56628.42,16454.745,56040000,Auto Components & Equipments,Auto Components & Equipments,Consumer Discretionary,NIFTY AUTO                                        ,32.25,Active
OSWALAGRO,Oswal Agro Mills Limited,30.7,35.2,41210.08,23862.916129499998,134234776,Trading & Distributors,Trading & Distributors,Services,NIFTY 500                                         ,21.73,Active
MEDICO,Medico Remedies Limited,357.8,NA,59383.35,16004.377224000002,16596800,Pharmaceuticals,Pharmaceuticals,Healthcare,NA,NA,Active
TVSELECT,TVS Electronics Limited,330.6,48.62,61657.95,24666.910586799997,18650318,Computers Hardware & Equipments,Computers Hardware & Equipments,Information Technology,NIFTY IT                                          ,26.74,Active
NAHARCAP,Nahar Capital and Financial Services Limited,249.25,12.22,41739.82,11705.905656300001,16746167,Investment Company,Investment Company,Financial Services,NIFTY FINANCIAL SERVICES                          ,17.31,Active
UNIDT,United Drilling Tools Limited,221.55,NA,44981.58,11250.4696948,20303126,Industrial Products,Industrial Products,Industrials,NA,NA,Active
VLSFINANCE,VLS Finance Limited,172.25,7.16,64717.42,36212.0049827,37571796,Investment Company,Investment Company,Financial Services,NIFTY FINANCIAL SERVICES                          ,17.31,Active
EXXARO,Exxaro Tiles Limited,120.45,NA,53890.62,17259.3151632,44741070,Ceramics,Ceramics,Consumer Discretionary,NA,NA,Active
HARDWYN,Hardwyn India Limited,296.55,NA,45372.15,11318.175,15300000,Trading & Distributors,Trading & Distributors,Services,NA,NA,Active
TBZ,Tribhovandas Bhimji Zaveri Limited,67.3,14.64,44909.71,11693.873848800002,66730620,Gems Jewellery And Watches,Gems Jewellery And Watches,Consumer Discretionary,NIFTY 500                                         ,21.73,Active
URJA,Urja Global Limited,8.15,298.18,42824.45,29977.1151579,525453377,Heavy Electrical Equipment,Heavy Electrical Equipment,Industrials,NIFTY 500                                         ,21.73,Active
HTMEDIA,HT Media Limited,18.3,0,42592.94,12847.7069328,232748314,Print Media,Print Media,Consumer Discretionary,NIFTY MEDIA                                       ,0,Active
SWELECTES,Swelect Energy Systems Limited,285.1,23.04,43217.62,19069.1137296,15158760,Heavy Electrical Equipment,Heavy Electrical Equipment,Industrials,NIFTY 500                                         ,21.73,Active
IFBAGRO,IFB Agro Industries Limited,467.2,9.41,43763.14,8877.2110947,9367111,Breweries & Distilleries,Breweries & Distilleries,Fast Moving Consumer Goods,NIFTY 500                                         ,21.73,Active
KSOLVES,Ksolves India Limited,445.05,NA,52765.13,18788.44032,11856000,Computers - Software & Consulting,Computers - Software & Consulting,Information Technology,NA,NA,Active
DHANBANK,Dhanlaxmi Bank Limited,16.15,6.56,40861.45,30930.727269000003,253012084,Private Sector Bank,Private Sector Bank,Financial Services,NIFTY BANK                                        ,16.04,Active
NRAIL,N R Agarwal Industries Limited,222.65,3.87,37893.03,9869.886663,17019100,Paper & Paper Products,Paper & Paper Products,Commodities,NIFTY 500                                         ,21.73,Active
ADSL,Allied Digital Services Limited,97.75,46.69,53596.35,24987.042491199998,54830028,IT Enabled Services,IT Enabled Services,Information Technology,NIFTY IT                                          ,26.74,Active
NURECA,Nureca Limited,356.3,NA,35630.62,10705.6873463,10000175,Medical Equipment & Supplies,Medical Equipment & Supplies,Healthcare,NA,NA,Active
CSLFINANCE,CSL Finance Limited,228.3,NA,47332.57,17812.2240059,20732621,Non Banking Financial Company (NBFC),Non Banking Financial Company (NBFC),Financial Services,NA,NA,Active
RAMAPHO,Rama Phosphates Limited,198.3,NA,35085.64,8769.1986931,17693213,Fertilizers,Fertilizers,Commodities,NA,NA,Active
HITECHGEAR,The Hi-Tech Gears Limited,263.9,9.37,49528.75,21342.59424,18768000,Auto Components & Equipments,Auto Components & Equipments,Consumer Discretionary,NIFTY 500                                         ,21.73,Active
REPRO,Repro India Limited,377.25,0,48017.47,21765.37419,12728289,Printing & Publication,Printing & Publication,Consumer Discretionary,NIFTY MEDIA                                       ,0,Active
SREEL,Sreeleathers Limited,178.7,18.21,41378.01,10220.0434215,23155012,Footwear,Footwear,Consumer Discretionary,NIFTY 500                                         ,21.73,Active
MANAKSIA,Manaksia Limited,116,8.37,76019.5,19004.8745,65534050,Iron & Steel Products,Iron & Steel Products,Industrials,NIFTY METAL                                       ,12.23,Active
BBTCL,B&B Triplewall Containers Limited,224.45,NA,46037.48,11411.941155,20511240,Packaging,Packaging,Industrials,NA,NA,Active
MUNJALAU,Munjal Auto Industries Limited,41.5,6.09,41500,10337.5,100000000,Auto Components & Equipments,Auto Components & Equipments,Consumer Discretionary,NIFTY 500                                         ,21.73,Active
AARTISURF,Aarti Surfactants Limited,524,NA,39742.66,21754.176155300003,7584477,Specialty Chemicals,Specialty Chemicals,Commodities,NA,NA,Active
